?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/OBI_0302893>	<http://www.w3.org/2000/01/rdf-schema#label>	"storage"@en	
<http://purl.obolibrary.org/obo/OBI_0600013>	<http://www.w3.org/2000/01/rdf-schema#label>	"information acquisition"@en	
<http://purl.obolibrary.org/obo/OBI_0400013>	<http://www.w3.org/2000/01/rdf-schema#label>	"band pass filter"	
<http://purl.obolibrary.org/obo/OBI_0000094>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete material processing"	
<http://purl.obolibrary.org/obo/OBI_0000367>	<http://www.w3.org/2000/01/rdf-schema#label>	"light emission function"@en	
<http://purl.obolibrary.org/obo/OBI_0000456>	<http://www.w3.org/2000/01/rdf-schema#label>	"material transformation objective"@en	
<http://purl.obolibrary.org/obo/OBI_0000185>	<http://www.w3.org/2000/01/rdf-schema#label>	"imaging assay"	
<http://purl.obolibrary.org/obo/OBI_0600010>	<http://www.w3.org/2000/01/rdf-schema#label>	"material acquisition"@en	
<http://purl.obolibrary.org/obo/OBI_0001138>	<http://www.w3.org/2000/01/rdf-schema#label>	"X-ray source"	
<http://purl.obolibrary.org/obo/OBI_0000011>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete planned process"	
<http://purl.obolibrary.org/obo/OBI_0000932>	<http://www.w3.org/2000/01/rdf-schema#label>	"material separation device"	
<http://purl.obolibrary.org/obo/OBI_0002902>	<http://www.w3.org/2000/01/rdf-schema#label>	"solar light source"	
<http://purl.obolibrary.org/obo/OBI_0600008>	<http://www.w3.org/2000/01/rdf-schema#label>	"acquisition"@en	
<http://purl.obolibrary.org/obo/OBI_0200166>	<http://www.w3.org/2000/01/rdf-schema#label>	"data transformation objective"@en	
<http://purl.obolibrary.org/obo/OBI_0200000>	<http://www.w3.org/2000/01/rdf-schema#label>	"data transformation"@en	
<http://purl.obolibrary.org/obo/OBI_0000374>	<http://www.w3.org/2000/01/rdf-schema#label>	"excitation function"@en	
<http://purl.obolibrary.org/obo/OBI_0002900>	<http://www.w3.org/2000/01/rdf-schema#label>	"ultraviolet light source"	
<http://purl.obolibrary.org/obo/OBI_0000838>	<http://www.w3.org/2000/01/rdf-schema#label>	"material maintenance"	
<http://purl.obolibrary.org/obo/OBI_0400067>	<http://www.w3.org/2000/01/rdf-schema#label>	"long pass filter"	
<http://purl.obolibrary.org/obo/OBI_0000070>	<http://www.w3.org/2000/01/rdf-schema#label>	"assay"@en	
<http://purl.obolibrary.org/obo/OBI_0000441>	<http://www.w3.org/2000/01/rdf-schema#label>	"assay objective"@en	
<http://purl.obolibrary.org/obo/IAO_0000005>	<http://www.w3.org/2000/01/rdf-schema#label>	"objective specification"@en	
<http://purl.obolibrary.org/obo/OBI_0400142>	<http://www.w3.org/2000/01/rdf-schema#label>	"power supply"	
<http://purl.obolibrary.org/obo/OBI_0000372>	<http://www.w3.org/2000/01/rdf-schema#label>	"material separation function"@en	
<http://purl.obolibrary.org/obo/IAO_0000140>	<http://www.w3.org/2000/01/rdf-schema#label>	"setting datum"@en	
<http://purl.obolibrary.org/obo/IAO_0000028>	<http://www.w3.org/2000/01/rdf-schema#label>	"symbol"@en	
<http://purl.obolibrary.org/obo/IAO_0000007>	<http://www.w3.org/2000/01/rdf-schema#label>	"action specification"@en	
<http://purl.obolibrary.org/obo/IAO_0000098>	<http://www.w3.org/2000/01/rdf-schema#label>	"data format specification"@en	
<http://purl.obolibrary.org/obo/IAO_0000100>	<http://www.w3.org/2000/01/rdf-schema#label>	"data set"@en	
<http://purl.obolibrary.org/obo/IAO_0000109>	<http://www.w3.org/2000/01/rdf-schema#label>	"measurement datum"@en	
<http://purl.obolibrary.org/obo/IAO_0000027>	<http://www.w3.org/2000/01/rdf-schema#label>	"data item"@en	
<http://purl.obolibrary.org/obo/IAO_0000032>	<http://www.w3.org/2000/01/rdf-schema#label>	"scalar measurement datum"@en	
<http://purl.obolibrary.org/obo/IAO_0000416>	<http://www.w3.org/2000/01/rdf-schema#label>	"time measurement datum"@en	
<http://purl.obolibrary.org/obo/IAO_0000030>	<http://www.w3.org/2000/01/rdf-schema#label>	"information content entity"@en	
<http://purl.obolibrary.org/obo/IAO_0000582>	<http://www.w3.org/2000/01/rdf-schema#label>	"time stamped measurement datum"@en	
<http://purl.obolibrary.org/obo/IAO_0000414>	<http://www.w3.org/2000/01/rdf-schema#label>	"mass measurement datum"@en	
<http://purl.obolibrary.org/obo/IAO_0000408>	<http://www.w3.org/2000/01/rdf-schema#label>	"length measurement datum"@en	
<http://purl.obolibrary.org/obo/IAO_0000064>	<http://www.w3.org/2000/01/rdf-schema#label>	"algorithm"@en	
<http://purl.obolibrary.org/obo/IAO_0000101>	<http://www.w3.org/2000/01/rdf-schema#label>	"image"@en	
<http://purl.obolibrary.org/obo/IAO_0000009>	<http://www.w3.org/2000/01/rdf-schema#label>	"datum label"@en	
<http://purl.obolibrary.org/obo/IAO_0000104>	<http://www.w3.org/2000/01/rdf-schema#label>	"plan specification"@en	
<http://purl.obolibrary.org/obo/IAO_0000584>	<http://www.w3.org/2000/01/rdf-schema#label>	"time sampled measurement data set"@en	
<http://purl.obolibrary.org/obo/IAO_0000003>	<http://www.w3.org/2000/01/rdf-schema#label>	"measurement unit label"@en	
<http://purl.obolibrary.org/obo/TFSCO_0000000>	<http://www.w3.org/2000/01/rdf-schema#label>	"root node"@en	
